,description,question,choices,answer
538,a clear blue sky with scattered white clouds,"['is this a sky?', 'what type of place is this?', 'are there clouds?', 'what is in the sky?', 'is the sky blue?', 'what color is the sky?', 'are the clouds white?', 'what color are the clouds?', 'are the clouds scattered?', 'are the clouds scattered or dense?']","[['yes', 'no'], ['sky', 'beach', 'forest', 'mountain'], ['yes', 'no'], ['clouds', 'stars', 'moon', 'sun'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['white', 'black', 'gray', 'brown'], ['yes', 'no'], ['scattered', 'dense', 'thin', 'thick']]","['yes', 'sky', 'yes', 'clouds', 'yes', 'blue', 'yes', 'white', 'yes', 'scattered']"
539,A ripe yellow banana.,"['is this a banana?', 'what fruit is in the picture?', 'is the banana yellow?', 'what color is the banana?', 'is the banana ripe?', 'is the banana ripe or unripe?']","[['yes', 'no'], ['banana', 'apple', 'orange', 'pear'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['ripe', 'unripe', 'rotten', 'fresh']]","['yes', 'banana', 'yes', 'yellow', 'yes', 'ripe']"
540,"Interlocking geometric shapes in shades of blue and silver, forming a tessellation.","['are there shapes?', 'what type of object is this?', 'are there shades of blue?', 'is there silver?', 'what color is this?', 'are the shapes forming a tessellation?', 'what are the shapes doing?', 'are the shapes interlocking?', 'are the shapes interlocking or overlapping?', 'are the shapes geometric?', 'are the shapes geometric or irregular?']","[['yes', 'no'], ['shapes', 'colors', 'numbers', 'letters'], ['yes', 'no'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['forming', 'breaking', 'crushing', 'smashing'], ['yes', 'no'], ['interlocking', 'overlapping', 'touching', 'colliding'], ['yes', 'no'], ['geometric', 'irregular', 'round', 'square']]","['yes', 'shapes', 'yes', 'yes', 'silver', 'yes', 'forming', 'yes', 'interlocking', 'yes', 'geometric']"
541,A polished silver kettle with a wooden handle.,"['is this a kettle?', 'what type of container is this?', 'is there a handle?', 'what is on the kettle?', 'is the kettle silver?', 'what color is the kettle?', 'is the kettle polished?', 'is the kettle polished or unpolished?', 'is the handle wooden?', 'what is the material of the handle?']","[['yes', 'no'], ['kettle', 'pan', 'bowl', 'cup'], ['yes', 'no'], ['handle', 'knob', 'lid', 'spout'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['polished', 'unpolished', 'smooth', 'rough'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass']]","['yes', 'kettle', 'yes', 'handle', 'yes', 'silver', 'yes', 'polished', 'yes', 'wooden']"
542,A wooden gear with moss growing on its teeth,"['is this a gear?', 'what type of object is this?', 'is there moss growing on the gear?', 'what is growing on the gear?', 'is the moss growing on the gear?', 'is the gear wooden?', 'what is the material of the gear?', 'are there teeth on the gear?', 'what is on the gear?']","[['yes', 'no'], ['gear', 'wheel', 'axle', 'cog'], ['yes', 'no'], ['moss', 'grass', 'flower', 'bush'], ['yes', 'no'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass'], ['yes', 'no'], ['teeth', 'knobs', 'holes', 'bumps']]","['yes', 'gear', 'yes', 'moss', 'yes', 'yes', 'wooden', 'yes', 'teeth']"
543,overlapping magenta hexagons,"['are there magenta hexagons?', 'what type of shapes are these?', 'are the magenta hexagons overlapping?', 'what are the magenta hexagons doing?', 'are the hexagons magenta?', 'what color are the hexagons?']","[['yes', 'no'], ['magenta hexagons', 'red triangles', 'blue squares', 'yellow circles'], ['yes', 'no'], ['overlapping', 'touching', 'colliding', 'interlocking'], ['yes', 'no'], ['magenta', 'red', 'blue', 'green']]","['yes', 'magenta hexagons', 'yes', 'overlapping', 'yes', 'magenta']"
544,Teal spheres arranged in a grid on a gold background.,"['are there spheres?', 'what type of shape is this?', 'is there a grid?', 'what type of shape is this?', 'is there a background?', 'what type of shape is this?', 'are the spheres arranged in a grid?', 'are the spheres teal?', 'what color are the spheres?', 'is the background gold?', 'what color is the background?']","[['yes', 'no'], ['spheres', 'cubes', 'cylinders', 'cones'], ['yes', 'no'], ['grid', 'pattern', 'texture', 'design'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['yes', 'no'], ['teal', 'blue', 'red', 'yellow'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper']]","['yes', 'spheres', 'yes', 'grid', 'yes', 'background', 'yes', 'yes', 'teal', 'yes', 'gold']"
545,a grayscale checkerboard pattern,"['is this a checkerboard pattern?', 'what type of pattern is this?', 'is this a grayscale pattern?', 'what color is this pattern?']","[['yes', 'no'], ['checkerboard pattern', 'stripes pattern', 'dots pattern', 'stars pattern'], ['yes', 'no'], ['grayscale', 'black and white', 'red and blue', 'yellow and green']]","['yes', 'checkerboard pattern', 'yes', 'grayscale']"
546,A green tree.,"['is this a tree?', 'what type of plant is this?', 'is the tree green?', 'what color is the tree?']","[['yes', 'no'], ['tree', 'flower', 'bush', 'grass'], ['yes', 'no'], ['green', 'red', 'yellow', 'blue']]","['yes', 'tree', 'yes', 'green']"
547,A lone tree silhouette against a gradient sunset sky.,"['is this a tree?', 'what type of plant is this?', 'is this a sky?', 'what type of place is this?', 'is the tree lone?', 'is the tree lone or in a group?', 'is the sky a gradient?', 'is the sky a gradient or a solid color?']","[['yes', 'no'], ['tree', 'flower', 'bush', 'grass'], ['yes', 'no'], ['sky', 'ground', 'water', 'space'], ['yes', 'no'], ['lone', 'in a group', 'in a line', 'in a circle'], ['yes', 'no'], ['gradient', 'solid color', 'patchy', 'striped']]","['yes', 'tree', 'yes', 'sky', 'yes', 'lone', 'yes', 'gradient']"
548,interlocking geometric shapes in pastel shades,"['are there interlocking geometric shapes?', 'what type of shape is this?', 'are the shapes interlocking?', 'what are the shapes doing?', 'are the shapes in pastel shades?', 'what color are the shapes?']","[['yes', 'no'], ['shapes', 'lines', 'numbers', 'letters'], ['yes', 'no'], ['interlocking', 'overlapping', 'intersecting', 'touching'], ['yes', 'no'], ['pastel shades', 'bright colors', 'dark colors', 'neutral colors']]","['yes', 'shapes', 'yes', 'interlocking', 'yes', 'pastel shades']"
549,textured blue velvet fabric,"['is this a fabric?', 'what type of object is this?', 'is the fabric blue?', 'what color is the fabric?', 'is the fabric textured?', 'is the fabric velvet?', 'is the fabric velvet or satin?']","[['yes', 'no'], ['fabric', 'wood', 'plastic', 'glass'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['yes', 'no'], ['velvet', 'satin', 'silk', 'cotton']]","['yes', 'fabric', 'yes', 'blue', 'yes', 'yes', 'velvet']"
550,Emerald circles connected by silver lines,"['are there circles?', 'what shape is this?', 'are there lines?', 'what type of shape is this?', 'are the circles emerald?', 'what color are the circles?', 'are the lines silver?', 'what color are the lines?', 'are the circles connected by lines?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['lines', 'curves', 'angles', 'corners'], ['yes', 'no'], ['emerald', 'ruby', 'sapphire', 'diamond'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no']]","['yes', 'circles', 'yes', 'lines', 'yes', 'emerald', 'yes', 'silver', 'yes']"
551,"A solitary, branching tree silhouetted against a deep indigo sky with a thin silver crescent.","['is this a tree?', 'what type of plant is this?', 'is this a sky?', 'what type of place is this?', 'is the tree silhouetted against the sky?', 'is the sky indigo?', 'what color is the sky?', 'is the crescent silver?', 'what color is the crescent?', 'is the sky deep?', 'is the sky deep or shallow?', 'is the crescent thin?']","[['yes', 'no'], ['tree', 'flower', 'bush', 'grass'], ['yes', 'no'], ['sky', 'ground', 'water', 'space'], ['yes', 'no'], ['yes', 'no'], ['indigo', 'blue', 'red', 'yellow'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['deep', 'shallow', 'medium', 'narrow'], ['yes', 'no']]","['yes', 'tree', 'yes', 'sky', 'yes', 'yes', 'indigo', 'yes', 'silver', 'yes', 'deep', 'yes']"
552,A spiral of alternating indigo and violet squares.,"['are there squares?', 'what shape is this?', 'are the squares indigo?', 'what color are the squares?', 'are the squares violet?', 'what color are the squares?', 'is this a spiral?', 'what shape is this?', 'are the squares alternating?', 'are the squares alternating or all the same color?']","[['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['indigo', 'violet', 'red', 'blue'], ['yes', 'no'], ['violet', 'indigo', 'red', 'blue'], ['yes', 'no'], ['spiral', 'circle', 'triangle', 'rectangle'], ['yes', 'no'], ['alternating', 'all the same color', 'all different colors', 'all mixed colors']]","['yes', 'squares', 'yes', 'indigo', 'yes', 'violet', 'yes', 'spiral', 'yes', 'alternating']"
553,A red paisley pattern on a white background.,"['is there a paisley pattern?', 'what type of pattern is this?', 'is there a background?', 'what type of background is this?', 'is the paisley pattern red?', 'what color is the paisley pattern?', 'is the background white?', 'what color is the background?', 'is the paisley pattern on the background?', 'is the paisley pattern on the background or next to it?']","[['yes', 'no'], ['paisley pattern', 'square pattern', 'circle pattern', 'triangle pattern'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['red', 'blue', 'yellow', 'green'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['on', 'next to', 'behind', 'in front of']]","['yes', 'paisley pattern', 'yes', 'background', 'yes', 'red', 'yes', 'white', 'yes', 'on']"
554,golden spirals with shimmering edges,"['are there spirals?', 'what type of shape is this?', 'are the spirals golden?', 'what color are the spirals?', 'do the edges of the spirals have a shimmering effect?']","[['yes', 'no'], ['spirals', 'circles', 'squares', 'triangles'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper'], ['yes', 'no']]","['yes', 'spirals', 'yes', 'golden', 'yes']"
555,A red apple.,"['is this an apple?', 'what fruit is this?', 'is the apple red?', 'what color is the apple?']","[['yes', 'no'], ['apple', 'orange', 'banana', 'pear'], ['yes', 'no'], ['red', 'orange', 'yellow', 'green']]","['yes', 'apple', 'yes', 'red']"
556,blue velvet curtains,"['are these curtains?', 'what type of window treatment is this?', 'are the curtains blue?', 'what color are the curtains?', 'are the curtains velvet?', 'what is the material of the curtains?']","[['yes', 'no'], ['curtains', 'blinds', 'shades', 'drapes'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['velvet', 'cotton', 'silk', 'wool']]","['yes', 'curtains', 'yes', 'blue', 'yes', 'velvet']"
557,crimson velvet waves,"['are there velvet waves?', 'what type of wave is this?', 'are the waves crimson?', 'what color are the waves?']","[['yes', 'no'], ['velvet waves', 'ocean waves', 'earthquake waves', 'tidal waves'], ['yes', 'no'], ['crimson', 'blue', 'yellow', 'green']]","['yes', 'velvet waves', 'yes', 'crimson']"
558,A bright yellow umbrella,"['is this an umbrella?', 'what type of object is this?', 'is the umbrella bright yellow?', 'what color is the umbrella?']","[['yes', 'no'], ['umbrella', 'hat', 'shoe', 'coat'], ['yes', 'no'], ['bright yellow', 'bright red', 'bright blue', 'bright green']]","['yes', 'umbrella', 'yes', 'bright yellow']"
559,overlapping translucent orange and teal squares,"['are there squares?', 'what shape is this?', 'are the squares overlapping?', 'are the squares teal?', 'what color are the squares?', 'are the squares orange?', 'what color are the squares?', 'are the squares translucent?', 'are the squares translucent or opaque?']","[['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['teal', 'blue', 'green', 'red'], ['yes', 'no'], ['orange', 'red', 'yellow', 'blue'], ['yes', 'no'], ['translucent', 'opaque', 'transparent', 'translucent']]","['yes', 'squares', 'yes', 'yes', 'teal', 'yes', 'orange', 'yes', 'translucent']"
560,blue circles scattered randomly,"['are there circles?', 'what type of shape is this?', 'are the circles scattered?', 'are the circles blue?', 'what color are the circles?', 'are the circles scattered randomly?', 'are the circles scattered randomly or in a pattern?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['random', 'pattern', 'order', 'disorder']]","['yes', 'circles', 'yes', 'yes', 'blue', 'yes', 'random']"
561,electric blue lightning over jagged mountains,"['is there lightning?', 'what type of weather is this?', 'are there mountains?', 'what type of place is this?', 'is the lightning electric blue?', 'what color is the lightning?', 'are the mountains jagged?', 'what shape are the mountains?']","[['yes', 'no'], ['lightning', 'rain', 'snow', 'wind'], ['yes', 'no'], ['mountains', 'hills', 'valleys', 'plains'], ['yes', 'no'], ['electric blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['jagged', 'smooth', 'round', 'oval']]","['yes', 'lightning', 'yes', 'mountains', 'yes', 'electric blue', 'yes', 'jagged']"
562,A bumpy chartreuse sphere,"['is this a sphere?', 'what shape is this?', 'is the sphere chartreuse?', 'what color is the sphere?', 'is the sphere bumpy?', 'is the sphere bumpy or smooth?']","[['yes', 'no'], ['sphere', 'cube', 'cylinder', 'cone'], ['yes', 'no'], ['chartreuse', 'red', 'blue', 'green'], ['yes', 'no'], ['bumpy', 'smooth', 'rough', 'wavy']]","['yes', 'sphere', 'yes', 'chartreuse', 'yes', 'bumpy']"
563,Crimson abstract geometric pattern,"['is this a pattern?', 'what type of object is this?', 'is the pattern crimson?', 'what color is the pattern?', 'is the pattern abstract geometric?', 'is the pattern abstract geometric or abstract artistic?']","[['yes', 'no'], ['pattern', 'picture', 'drawing', 'painting'], ['yes', 'no'], ['crimson', 'red', 'yellow', 'green'], ['yes', 'no'], ['abstract geometric', 'abstract artistic', 'abstract musical', 'abstract mathematical']]","['yes', 'pattern', 'yes', 'crimson', 'yes', 'abstract geometric']"
564,Repeating red squares on a white background,"['are there squares on the background?', 'what shape is on the background?', 'is there a background?', 'what is in the background?', 'are the squares red?', 'what color are the squares?', 'are the squares repeating?']","[['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['red', 'black', 'white', 'yellow'], ['yes', 'no']]","['yes', 'squares', 'yes', 'background', 'yes', 'red', 'yes']"
565,A stack of colorful books on a wooden shelf,"['are there books on the shelf?', 'what type of object is this?', 'is there a shelf?', 'what type of furniture is this?', 'are the books colorful?', 'what color are the books?', 'is this a stack of books?', 'is this a stack or a pile of books?']","[['yes', 'no'], ['books', 'magazines', 'newspapers', 'letters'], ['yes', 'no'], ['shelf', 'table', 'chair', 'bed'], ['yes', 'no'], ['colorful', 'black', 'white', 'gray'], ['yes', 'no'], ['stack', 'pile', 'heap', 'mound']]","['yes', 'books', 'yes', 'shelf', 'yes', 'colorful', 'yes', 'stack']"
566,An abstract pattern of swirling smoke in shades of grey and purple.,"['is this smoke?', 'what type of object is this?', 'is the smoke grey?', 'what color is the smoke?', 'is the smoke purple?', 'what color is the smoke?', 'is the smoke swirling?', 'is the smoke swirling or straight?', 'are the shades of grey and purple?', 'are the shades of grey and purple or black and white?', 'is this an abstract pattern?']","[['yes', 'no'], ['smoke', 'fog', 'mist', 'steam'], ['yes', 'no'], ['grey', 'black', 'white', 'blue'], ['yes', 'no'], ['purple', 'red', 'yellow', 'green'], ['yes', 'no'], ['swirling', 'straight', 'curling', 'rising'], ['yes', 'no'], ['grey and purple', 'black and white', 'red and blue', 'yellow and green'], ['yes', 'no']]","['yes', 'smoke', 'yes', 'grey', 'yes', 'purple', 'yes', 'swirling', 'yes', 'grey and purple', 'yes']"
